<http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="original"
, <http://web.archive.org/web/20141120002022/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Wed, 19 Nov 2014 19:20:22 GMT"
, <http://web.archive.org/web/20141214170159/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Sun, 14 Dec 2014 12:01:59 GMT"
, <http://web.archive.org/web/20141224152004/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Wed, 24 Dec 2014 10:20:04 GMT"
, <http://web.archive.org/web/20141229204927/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Mon, 29 Dec 2014 15:49:27 GMT"
, <http://web.archive.org/web/20150102052240/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Fri, 02 Jan 2015 00:22:40 GMT"
, <http://wayback.archive-it.org/all/20150108014926/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Wed, 07 Jan 2015 20:49:26 GMT"
, <http://web.archive.org/web/20150119191138/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Mon, 19 Jan 2015 14:11:38 GMT"
, <http://web.archive.org/web/20150203172625/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Tue, 03 Feb 2015 12:26:25 GMT"
, <http://web.archive.org/web/20150204220357/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Wed, 04 Feb 2015 17:03:57 GMT"
, <http://web.archive.org/web/20150302213307/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Mon, 02 Mar 2015 16:33:07 GMT"
, <http://web.archive.org/web/20150321060359/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Sat, 21 Mar 2015 02:03:59 GMT"
, <http://web.archive.org/web/20150323045720/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers>;rel="memento"; datetime="Mon, 23 Mar 2015 00:57:20 GMT"
, <http://web.archive.org/web/20150331171821/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Tue, 31 Mar 2015 13:18:21 GMT"
, <http://web.archive.org/web/20150413205613/http://blogs.wsj.com/corporate-intelligence/2013/07/12/union-letter-obamacare-will-destroy-the-very-health-and-wellbeing-of-workers/>;rel="memento"; datetime="Mon, 13 Apr 2015 16:56:13 GMT"
