<https://info.internet.org/en/>;rel="original"
,<http://web.archive.org/web/20151228092512/http://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 09:25:12 GMT"
,<http://web.archive.org/web/20151228152732/https://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 15:27:32 GMT"
,<http://web.archive.org/web/20151228152733/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 28 Dec 2015 15:27:33 GMT"
,<http://web.archive.org/web/20151228152739/http://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 15:27:39 GMT"
,<http://web.archive.org/web/20151228215741/https://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 21:57:41 GMT"
,<http://web.archive.org/web/20151228215742/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 28 Dec 2015 21:57:42 GMT"
,<http://web.archive.org/web/20151228225359/https://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 22:53:59 GMT"
,<http://web.archive.org/web/20151228225400/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 28 Dec 2015 22:54:00 GMT"
,<http://web.archive.org/web/20151228225405/http://info.internet.org/en>;rel="memento"; datetime="Mon, 28 Dec 2015 22:54:05 GMT"
,<http://web.archive.org/web/20151229025132/https://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 02:51:32 GMT"
,<http://web.archive.org/web/20151229025133/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 29 Dec 2015 02:51:33 GMT"
,<http://web.archive.org/web/20151229025140/http://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 02:51:40 GMT"
,<http://web.archive.org/web/20151229041943/https://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 04:19:43 GMT"
,<http://web.archive.org/web/20151229041944/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 29 Dec 2015 04:19:44 GMT"
,<http://web.archive.org/web/20151229041950/http://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 04:19:50 GMT"
,<http://web.archive.org/web/20151229102027/https://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 10:20:27 GMT"
,<http://web.archive.org/web/20151229102028/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 29 Dec 2015 10:20:28 GMT"
,<http://web.archive.org/web/20151229102034/http://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 10:20:34 GMT"
,<http://web.archive.org/web/20151229132916/https://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 13:29:16 GMT"
,<http://web.archive.org/web/20151229132917/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 29 Dec 2015 13:29:17 GMT"
,<http://web.archive.org/web/20151229171821/https://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 17:18:21 GMT"
,<http://web.archive.org/web/20151229171822/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 29 Dec 2015 17:18:22 GMT"
,<http://web.archive.org/web/20151229171829/http://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 17:18:29 GMT"
,<http://web.archive.org/web/20151229184227/https://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 18:42:27 GMT"
,<http://web.archive.org/web/20151229184228/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 29 Dec 2015 18:42:28 GMT"
,<http://web.archive.org/web/20151229184234/http://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 18:42:34 GMT"
,<http://web.archive.org/web/20151229213006/https://info.internet.org/en>;rel="memento"; datetime="Tue, 29 Dec 2015 21:30:06 GMT"
,<http://web.archive.org/web/20151229213007/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 29 Dec 2015 21:30:07 GMT"
,<http://web.archive.org/web/20151230035339/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 03:53:39 GMT"
,<http://web.archive.org/web/20151230035340/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 03:53:40 GMT"
,<http://web.archive.org/web/20151230045022/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 04:50:22 GMT"
,<http://web.archive.org/web/20151230045024/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 04:50:24 GMT"
,<http://web.archive.org/web/20151230045032/http://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 04:50:32 GMT"
,<http://web.archive.org/web/20151230070513/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 07:05:13 GMT"
,<http://web.archive.org/web/20151230070514/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 07:05:14 GMT"
,<http://web.archive.org/web/20151230141145/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 14:11:45 GMT"
,<http://web.archive.org/web/20151230141146/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 14:11:46 GMT"
,<http://web.archive.org/web/20151230141152/http://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 14:11:52 GMT"
,<http://web.archive.org/web/20151230145405/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 14:54:05 GMT"
,<http://web.archive.org/web/20151230145406/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 14:54:06 GMT"
,<http://web.archive.org/web/20151230145413/http://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 14:54:13 GMT"
,<http://web.archive.org/web/20151230154548/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 15:45:48 GMT"
,<http://web.archive.org/web/20151230154549/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 15:45:49 GMT"
,<http://web.archive.org/web/20151230154555/http://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 15:45:55 GMT"
,<http://web.archive.org/web/20151230181806/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 18:18:06 GMT"
,<http://web.archive.org/web/20151230181807/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 18:18:07 GMT"
,<http://web.archive.org/web/20151230181814/http://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 18:18:14 GMT"
,<http://web.archive.org/web/20151230184847/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 18:48:47 GMT"
,<http://web.archive.org/web/20151230184848/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 18:48:48 GMT"
,<http://web.archive.org/web/20151230184854/http://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 18:48:54 GMT"
,<http://web.archive.org/web/20151230215925/https://info.internet.org/en>;rel="memento"; datetime="Wed, 30 Dec 2015 21:59:25 GMT"
,<http://web.archive.org/web/20151230215926/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 30 Dec 2015 21:59:26 GMT"
,<http://web.archive.org/web/20151231044124/https://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 04:41:24 GMT"
,<http://web.archive.org/web/20151231044125/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 31 Dec 2015 04:41:25 GMT"
,<http://web.archive.org/web/20151231044131/http://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 04:41:31 GMT"
,<http://web.archive.org/web/20151231150736/https://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 15:07:36 GMT"
,<http://web.archive.org/web/20151231150737/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 31 Dec 2015 15:07:37 GMT"
,<http://web.archive.org/web/20151231150744/http://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 15:07:44 GMT"
,<http://web.archive.org/web/20151231151445/https://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 15:14:45 GMT"
,<http://web.archive.org/web/20151231151446/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 31 Dec 2015 15:14:46 GMT"
,<http://web.archive.org/web/20151231151453/http://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 15:14:53 GMT"
,<http://web.archive.org/web/20151231204539/https://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 20:45:39 GMT"
,<http://web.archive.org/web/20151231204540/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 31 Dec 2015 20:45:40 GMT"
,<http://web.archive.org/web/20151231204546/http://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 20:45:46 GMT"
,<http://web.archive.org/web/20151231222915/https://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 22:29:15 GMT"
,<http://web.archive.org/web/20151231222916/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 31 Dec 2015 22:29:16 GMT"
,<http://web.archive.org/web/20151231222923/http://info.internet.org/en>;rel="memento"; datetime="Thu, 31 Dec 2015 22:29:23 GMT"
,<http://web.archive.org/web/20160101001837/https://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 00:18:37 GMT"
,<http://web.archive.org/web/20160101001838/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 01 Jan 2016 00:18:38 GMT"
,<http://web.archive.org/web/20160101001845/http://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 00:18:45 GMT"
,<http://web.archive.org/web/20160101014430/https://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 01:44:30 GMT"
,<http://web.archive.org/web/20160101014431/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 01 Jan 2016 01:44:31 GMT"
,<http://web.archive.org/web/20160101014437/http://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 01:44:37 GMT"
,<http://web.archive.org/web/20160101064238/https://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 06:42:38 GMT"
,<http://web.archive.org/web/20160101064240/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 01 Jan 2016 06:42:40 GMT"
,<http://web.archive.org/web/20160101064253/http://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 06:42:53 GMT"
,<http://web.archive.org/web/20160101070744/https://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 07:07:44 GMT"
,<http://web.archive.org/web/20160101070745/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 01 Jan 2016 07:07:45 GMT"
,<http://web.archive.org/web/20160101070750/http://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 07:07:50 GMT"
,<http://web.archive.org/web/20160101110239/https://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 11:02:39 GMT"
,<http://web.archive.org/web/20160101110240/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 01 Jan 2016 11:02:40 GMT"
,<http://web.archive.org/web/20160101110246/http://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 11:02:46 GMT"
,<http://web.archive.org/web/20160101144313/https://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 14:43:13 GMT"
,<http://web.archive.org/web/20160101144314/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 01 Jan 2016 14:43:14 GMT"
,<http://web.archive.org/web/20160101144321/http://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 14:43:21 GMT"
,<http://web.archive.org/web/20160101163059/https://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 16:30:59 GMT"
,<http://web.archive.org/web/20160101163100/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 01 Jan 2016 16:31:00 GMT"
,<http://web.archive.org/web/20160101163106/http://info.internet.org/en>;rel="memento"; datetime="Fri, 01 Jan 2016 16:31:06 GMT"
,<http://web.archive.org/web/20160102000011/https://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 00:00:11 GMT"
,<http://web.archive.org/web/20160102000012/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 02 Jan 2016 00:00:12 GMT"
,<http://web.archive.org/web/20160102000017/http://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 00:00:17 GMT"
,<http://web.archive.org/web/20160102025442/https://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 02:54:42 GMT"
,<http://web.archive.org/web/20160102025443/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 02 Jan 2016 02:54:43 GMT"
,<http://web.archive.org/web/20160102025451/http://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 02:54:51 GMT"
,<http://web.archive.org/web/20160102033316/https://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 03:33:16 GMT"
,<http://web.archive.org/web/20160102033317/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 02 Jan 2016 03:33:17 GMT"
,<http://web.archive.org/web/20160102033323/http://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 03:33:23 GMT"
,<http://web.archive.org/web/20160102042723/https://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 04:27:23 GMT"
,<http://web.archive.org/web/20160102042724/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 02 Jan 2016 04:27:24 GMT"
,<http://web.archive.org/web/20160102042730/http://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 04:27:30 GMT"
,<http://web.archive.org/web/20160102125612/https://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 12:56:12 GMT"
,<http://web.archive.org/web/20160102125613/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 02 Jan 2016 12:56:13 GMT"
,<http://web.archive.org/web/20160102125619/http://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 12:56:19 GMT"
,<http://web.archive.org/web/20160102145212/https://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 14:52:12 GMT"
,<http://web.archive.org/web/20160102145214/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 02 Jan 2016 14:52:14 GMT"
,<http://web.archive.org/web/20160102145221/http://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 14:52:21 GMT"
,<http://web.archive.org/web/20160102150056/https://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 15:00:56 GMT"
,<http://web.archive.org/web/20160102150057/https://info.internet.org/en/>;rel="memento"; datetime="Sat, 02 Jan 2016 15:00:57 GMT"
,<http://web.archive.org/web/20160102150103/http://info.internet.org/en>;rel="memento"; datetime="Sat, 02 Jan 2016 15:01:03 GMT"
,<http://web.archive.org/web/20160103030705/https://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 03:07:05 GMT"
,<http://web.archive.org/web/20160103030706/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 03 Jan 2016 03:07:06 GMT"
,<http://web.archive.org/web/20160103030712/http://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 03:07:12 GMT"
,<http://web.archive.org/web/20160103062034/https://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 06:20:34 GMT"
,<http://web.archive.org/web/20160103062035/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 03 Jan 2016 06:20:35 GMT"
,<http://web.archive.org/web/20160103062041/http://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 06:20:41 GMT"
,<http://web.archive.org/web/20160103090214/https://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 09:02:14 GMT"
,<http://web.archive.org/web/20160103090215/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 03 Jan 2016 09:02:15 GMT"
,<http://web.archive.org/web/20160103090221/http://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 09:02:21 GMT"
,<http://web.archive.org/web/20160103121857/https://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 12:18:57 GMT"
,<http://web.archive.org/web/20160103121858/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 03 Jan 2016 12:18:58 GMT"
,<http://web.archive.org/web/20160103121905/http://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 12:19:05 GMT"
,<http://web.archive.org/web/20160103140651/https://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 14:06:51 GMT"
,<http://web.archive.org/web/20160103140652/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 03 Jan 2016 14:06:52 GMT"
,<http://web.archive.org/web/20160103140658/http://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 14:06:58 GMT"
,<http://web.archive.org/web/20160103154424/https://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 15:44:24 GMT"
,<http://web.archive.org/web/20160103154425/https://info.internet.org/en/>;rel="memento"; datetime="Sun, 03 Jan 2016 15:44:25 GMT"
,<http://web.archive.org/web/20160103154431/http://info.internet.org/en>;rel="memento"; datetime="Sun, 03 Jan 2016 15:44:31 GMT"
,<http://web.archive.org/web/20160104004242/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 00:42:42 GMT"
,<http://web.archive.org/web/20160104004244/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 00:42:44 GMT"
,<http://web.archive.org/web/20160104004252/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 00:42:52 GMT"
,<http://web.archive.org/web/20160104031930/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 03:19:30 GMT"
,<http://web.archive.org/web/20160104031931/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 03:19:31 GMT"
,<http://web.archive.org/web/20160104031937/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 03:19:37 GMT"
,<http://web.archive.org/web/20160104074618/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 07:46:18 GMT"
,<http://web.archive.org/web/20160104074619/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 07:46:19 GMT"
,<http://web.archive.org/web/20160104074625/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 07:46:25 GMT"
,<http://web.archive.org/web/20160104123941/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 12:39:41 GMT"
,<http://web.archive.org/web/20160104123943/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 12:39:43 GMT"
,<http://web.archive.org/web/20160104123955/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 12:39:55 GMT"
,<http://web.archive.org/web/20160104124125/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 12:41:25 GMT"
,<http://web.archive.org/web/20160104124126/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 12:41:26 GMT"
,<http://web.archive.org/web/20160104124132/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 12:41:32 GMT"
,<http://web.archive.org/web/20160104130008/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 13:00:08 GMT"
,<http://web.archive.org/web/20160104130009/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 13:00:09 GMT"
,<http://web.archive.org/web/20160104130015/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 13:00:15 GMT"
,<http://web.archive.org/web/20160104181252/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 18:12:52 GMT"
,<http://web.archive.org/web/20160104181253/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 18:12:53 GMT"
,<http://web.archive.org/web/20160104181259/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 18:12:59 GMT"
,<http://web.archive.org/web/20160104181926/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 18:19:26 GMT"
,<http://web.archive.org/web/20160104181927/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 18:19:27 GMT"
,<http://web.archive.org/web/20160104181933/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 18:19:33 GMT"
,<http://web.archive.org/web/20160104234934/https://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 23:49:34 GMT"
,<http://web.archive.org/web/20160104234937/https://info.internet.org/en/>;rel="memento"; datetime="Mon, 04 Jan 2016 23:49:37 GMT"
,<http://web.archive.org/web/20160104234944/http://info.internet.org/en>;rel="memento"; datetime="Mon, 04 Jan 2016 23:49:44 GMT"
,<http://web.archive.org/web/20160105021758/https://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 02:17:58 GMT"
,<http://web.archive.org/web/20160105021759/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 05 Jan 2016 02:17:59 GMT"
,<http://web.archive.org/web/20160105021806/http://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 02:18:06 GMT"
,<http://web.archive.org/web/20160105121734/https://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 12:17:34 GMT"
,<http://web.archive.org/web/20160105121736/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 05 Jan 2016 12:17:36 GMT"
,<http://web.archive.org/web/20160105141208/https://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 14:12:08 GMT"
,<http://web.archive.org/web/20160105141209/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 05 Jan 2016 14:12:09 GMT"
,<http://web.archive.org/web/20160105141215/http://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 14:12:15 GMT"
,<http://web.archive.org/web/20160105161946/https://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 16:19:46 GMT"
,<http://web.archive.org/web/20160105161947/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 05 Jan 2016 16:19:47 GMT"
,<http://web.archive.org/web/20160105161953/http://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 16:19:53 GMT"
,<http://web.archive.org/web/20160105170809/https://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 17:08:09 GMT"
,<http://web.archive.org/web/20160105183532/https://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 18:35:32 GMT"
,<http://web.archive.org/web/20160105183533/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 05 Jan 2016 18:35:33 GMT"
,<http://web.archive.org/web/20160105183540/http://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 18:35:40 GMT"
,<http://web.archive.org/web/20160105210432/https://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 21:04:32 GMT"
,<http://web.archive.org/web/20160105210433/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 05 Jan 2016 21:04:33 GMT"
,<http://web.archive.org/web/20160105210439/http://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 21:04:39 GMT"
,<http://web.archive.org/web/20160105221039/https://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 22:10:39 GMT"
,<http://web.archive.org/web/20160105221040/https://info.internet.org/en/>;rel="memento"; datetime="Tue, 05 Jan 2016 22:10:40 GMT"
,<http://web.archive.org/web/20160105221046/http://info.internet.org/en>;rel="memento"; datetime="Tue, 05 Jan 2016 22:10:46 GMT"
,<http://web.archive.org/web/20160106145646/https://info.internet.org/en>;rel="memento"; datetime="Wed, 06 Jan 2016 14:56:46 GMT"
,<http://web.archive.org/web/20160106145647/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 06 Jan 2016 14:56:47 GMT"
,<http://web.archive.org/web/20160106145653/http://info.internet.org/en>;rel="memento"; datetime="Wed, 06 Jan 2016 14:56:53 GMT"
,<http://web.archive.org/web/20160106155814/https://info.internet.org/en>;rel="memento"; datetime="Wed, 06 Jan 2016 15:58:14 GMT"
,<http://web.archive.org/web/20160106155815/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 06 Jan 2016 15:58:15 GMT"
,<http://web.archive.org/web/20160106171118/https://info.internet.org/en>;rel="memento"; datetime="Wed, 06 Jan 2016 17:11:18 GMT"
,<http://web.archive.org/web/20160106171119/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 06 Jan 2016 17:11:19 GMT"
,<http://web.archive.org/web/20160106171128/http://info.internet.org/en>;rel="memento"; datetime="Wed, 06 Jan 2016 17:11:28 GMT"
,<http://web.archive.org/web/20160106204413/https://info.internet.org/en>;rel="memento"; datetime="Wed, 06 Jan 2016 20:44:13 GMT"
,<http://web.archive.org/web/20160106204414/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 06 Jan 2016 20:44:14 GMT"
,<http://web.archive.org/web/20160106204423/http://info.internet.org/en>;rel="memento"; datetime="Wed, 06 Jan 2016 20:44:23 GMT"
,<http://web.archive.org/web/20160106214703/https://info.internet.org/en>;rel="memento"; datetime="Wed, 06 Jan 2016 21:47:03 GMT"
,<http://web.archive.org/web/20160106214704/https://info.internet.org/en/>;rel="memento"; datetime="Wed, 06 Jan 2016 21:47:04 GMT"
,<http://web.archive.org/web/20160107034821/https://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 03:48:21 GMT"
,<http://web.archive.org/web/20160107034822/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 07 Jan 2016 03:48:22 GMT"
,<http://web.archive.org/web/20160107034831/http://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 03:48:31 GMT"
,<http://web.archive.org/web/20160107044203/https://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 04:42:03 GMT"
,<http://web.archive.org/web/20160107044204/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 07 Jan 2016 04:42:04 GMT"
,<http://web.archive.org/web/20160107044222/http://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 04:42:22 GMT"
,<http://web.archive.org/web/20160107103050/https://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 10:30:50 GMT"
,<http://web.archive.org/web/20160107103051/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 07 Jan 2016 10:30:51 GMT"
,<http://web.archive.org/web/20160107134725/https://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 13:47:25 GMT"
,<http://web.archive.org/web/20160107134727/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 07 Jan 2016 13:47:27 GMT"
,<http://web.archive.org/web/20160107134737/http://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 13:47:37 GMT"
,<http://web.archive.org/web/20160107155507/https://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 15:55:07 GMT"
,<http://web.archive.org/web/20160107155508/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 07 Jan 2016 15:55:08 GMT"
,<http://web.archive.org/web/20160107155515/http://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 15:55:15 GMT"
,<http://web.archive.org/web/20160107211514/https://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 21:15:14 GMT"
,<http://web.archive.org/web/20160107211522/https://info.internet.org/en/>;rel="memento"; datetime="Thu, 07 Jan 2016 21:15:22 GMT"
,<http://web.archive.org/web/20160107211617/http://info.internet.org/en>;rel="memento"; datetime="Thu, 07 Jan 2016 21:16:17 GMT"
,<http://web.archive.org/web/20160108014121/https://info.internet.org/en>;rel="memento"; datetime="Fri, 08 Jan 2016 01:41:21 GMT"
,<http://web.archive.org/web/20160108014122/https://info.internet.org/en/>;rel="memento"; datetime="Fri, 08 Jan 2016 01:41:22 GMT"
