1|8.3|597631
2|7.2|195461
3|6.7|76408
4|6.9|61881
5|6.6|41539
7|8.1|449018
8|6.8|92533
9|7.6|71838
10|7.5|11338
11|8.6|987293
13|7.1|31032
15|7.3|29756
16|6.4|3686
17|7.3|212870
19|7.5|6686
20|7.0|3935
21|6.9|15483
22|8.4|713561
23|8.3|488406
27|6.8|167339
28|7.6|203905
29|5.4|185361
30|7.8|28327
31|7.3|78814
32|8.0|13735
33|7.2|135329
35|4.9|12330
36|5.2|5222
37|6.0|2421
39|7.2|53115
41|6.4|102597
42|7.8|178268
43|6.0|35639
46|7.2|13838
47|7.9|140259
48|8.3|18252
49|6.2|19613
50|8.7|878818
51|7.5|109208
53|7.3|168814
54|6.6|89627
55|8.6|700029
56|8.9|1280521
57|7.2|7850
58|7.5|52576
62|7.0|146162
65|7.8|167218
66|6.6|69590
67|6.9|210570
69|8.8|1201814
70|7.1|105599
73|7.0|80672
75|7.2|80
76|7.9|159507
78|5.8|49214
80|6.6|65272
82|8.1|586199
83|7.4|36567
87|7.5|23111
88|6.8|119409
89|8.2|448203
90|6.4|27537
92|8.0|159627
93|7.5|25832
94|7.5|301285
96|8.5|720380
97|8.0|181693
99|7.7|128623
100|8.2|438777
101|6.7|22814
103|5.4|3927
104|2.4|2947
105|5.7|17463
106|5.3|10880
107|6.5|3266
108|6.8|6974
109|7.5|15295
110|4.9|6769
112|5.2|7783
116|7.4|5563
118|6.3|141213
119|7.5|342
120|4.3|34094
121|6.9|410967
124|7.6|22791
125|6.4|62670
129|7.4|40275
130|6.3|3481
131|7.8|118642
133|8.2|208679
134|8.4|289466
135|8.3|411595
136|8.3|74933
137|7.3|12679
138|5.3|18550
140|6.9|32204
141|7.2|21436
142|7.0|25377
144|8.2|574881
146|6.7|1783
149|7.0|8509
150|7.4|62842
152|7.3|32554
154|8.1|263863
155|6.9|137144
156|8.4|641109
157|8.1|283136
158|6.3|37463
159|6.9|130401
160|7.8|73767
161|6.9|213418
162|7.7|20885
165|8.1|19352
166|8.0|16400
167|6.1|17654
171|7.7|64803
174|8.5|639861
175|8.0|148632
176|8.4|473309
178|8.9|429270
180|8.5|437564
183|8.5|544256
185|8.5|407214
188|8.3|467557
190|7.7|22976
191|8.3|261986
192|8.3|228186
196|8.0|268468
198|7.4|53852
201|7.8|110027
202|8.1|421888
203|8.3|268884
204|8.5|703460
205|8.0|74785
206|8.1|101799
207|7.6|17576
208|8.0|110359
209|8.0|103178
210|8.3|497969
211|7.6|54226
215|7.6|84502
216|7.6|144812
218|7.3|123771
221|7.9|47651
222|7.6|95461
223|8.0|70933
224|7.5|5948
225|5.6|71280
226|7.1|263055
227|7.2|53741
228|7.7|88534
229|6.6|56758
230|7.3|59487
231|7.0|208812
232|6.8|41519
233|6.4|59607
234|8.1|398188
235|6.3|168129
236|7.0|5699
237|7.3|185694
238|7.4|97920
239|7.1|43219
244|6.4|11635
246|7.4|111712
247|3.4|6430
248|7.4|71966
249|7.0|179000
254|3.7|184710
255|6.3|95622
256|6.9|2818
257|7.3|390319
259|5.4|54698
260|6.7|116283
261|5.1|12666
262|7.3|11423
263|2.7|8435
264|5.9|36030
266|4.8|6462
268|7.4|111712
270|7.8|214071
271|7.2|217004
273|8.2|419179
274|6.2|29139
275|7.7|76317
276|7.6|91813
277|6.7|7443
278|6.0|6684
283|6.8|26943
284|6.3|37049
285|8.0|27875
287|6.7|19577
288|7.2|215875
289|6.3|28812
290|6.4|19049
291|6.7|38691
292|7.2|6036
293|7.8|220542
294|6.8|213839
297|7.1|5590
298|7.3|277965
299|6.2|8036
300|6.4|142607
301|6.3|31889
302|8.3|403069
303|7.1|5590
304|6.8|19331
312|6.6|31183
315|6.7|28461
317|8.1|105376
318|8.9|835319
319|6.8|29530
320|8.4|10263
322|6.1|23248
323|5.8|60620
324|7.6|95396
325|6.4|41332
326|5.8|59361
327|6.9|68200
328|6.7|74362
329|6.1|13726
332|6.6|48989
334|6.8|41591
335|5.3|2232
336|5.6|6269
338|6.3|73607
339|6.2|16319
340|7.9|184209
341|6.0|1400
343|6.3|164803
348|6.1|13726
350|7.0|56757
355|6.0|79421
357|8.7|658958
360|7.3|117
361|6.6|2535
362|4.8|24750
363|5.7|25016
364|6.3|156136
365|6.5|23770
366|6.4|37312
367|6.8|117942
368|4.4|21155
369|6.2|29063
370|5.8|11715
372|6.7|4854
373|5.4|86101
374|5.0|18520
375|4.6|48815
378|6.4|20939
380|6.6|58704
381|7.2|27409
384|6.4|74886
385|7.2|185894
386|6.6|55517
388|5.5|58641
390|7.2|3325
391|6.2|103769
393|6.9|175927
394|6.2|2768
395|6.7|88616
396|6.7|20678
397|5.8|32957
398|4.0|37324
402|7.0|150555
403|7.6|261064
404|7.5|86339
405|7.1|291524
406|5.7|19206
407|5.2|28943
409|5.7|45665
410|6.9|62154
414|7.4|6860
416|7.4|8491
418|7.3|100566
419|7.8|103574
420|7.4|92914
422|6.4|24343
423|7.8|273155
425|7.0|11330
427|8.4|207079
428|8.0|55294
430|8.0|46269
431|7.2|96349
432|7.8|69676
434|7.7|32989
435|8.1|146955
438|4.0|4081
440|5.4|7293
446|6.5|6307
447|7.4|122212
449|6.4|60983
450|5.4|42159
451|7.2|164513
452|5.7|49248
453|3.5|27264
454|7.4|3354
456|5.5|30035
457|4.5|6823
458|7.1|23608
459|6.9|1404
461|7.4|27406
462|7.2|13216
464|7.5|3348
468|7.5|41444
469|7.7|34507
470|7.8|92671
471|6.6|38885
473|6.7|48298
475|8.2|455032
477|6.8|84529
479|8.4|239375
480|8.4|214023
482|8.3|169724
483|8.6|376532
485|7.9|65100
486|7.7|43033
487|8.1|96653
489|8.1|71923
490|7.5|44469
492|8.0|29728
494|8.0|40235
496|8.6|266958
497|8.0|43870
499|8.1|32933
500|6.8|19331
501|7.3|82244
502|7.1|26946
504|7.9|77756
505|8.2|102152
506|7.8|61660
510|8.7|222099
511|8.4|186244
514|8.1|186112
516|7.5|15615
517|8.0|101511
518|7.9|101667
522|7.8|35324
523|8.2|116527
526|8.1|154702
527|8.1|166078
529|7.7|14263
531|7.7|42192
534|6.2|1450
535|6.1|19504
536|7.6|3402
537|7.1|35954
538|7.1|83422
540|5.6|31573
541|5.8|79898
542|6.6|114442
545|4.5|16876
546|6.0|75932
549|6.9|33902
550|7.6|292631
551|6.0|10889
552|5.8|59667
554|6.1|140523
555|5.2|3919
556|5.9|4683
558|7.4|49290
561|6.4|41852
564|6.1|4459
565|5.6|21123
566|6.9|67717
569|6.2|42758
570|6.6|34413
571|5.5|10683
572|6.2|22663
573|5.9|13205
574|4.5|9367
575|5.4|14804
576|6.4|93913
577|5.2|41312
578|6.6|121092
579|5.6|5375
581|6.7|41254
583|6.6|10484
585|5.6|12788
586|5.4|10385
588|8.0|296784
590|5.0|13920
591|7.7|127090
593|7.5|23572
594|7.0|3473
597|6.1|82449
601|7.0|6001
603|8.5|305433
604|8.2|62430
605|7.7|14653
606|8.3|80348
607|8.2|84613
608|7.6|32106
609|7.2|7508
610|6.9|14183
611|8.1|30445
612|7.8|9142
613|8.1|15259
614|7.7|25685
616|8.0|85780
618|7.2|6188
619|6.1|13821
622|7.2|9793
623|6.0|21481
627|6.9|142140
628|7.5|151454
632|7.7|28364
634|7.9|8979
636|7.2|87762
641|8.5|116482
